City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Itarema,BR,2020-02-16 22:05:20,-2.92,-39.92,78.03,87,100,4.29
192,Amahai,ID,2020-02-16 22:03:45,-3.33,128.92,83.1,75,59,12.44
193,Faya,SA,2020-02-16 22:03:42,18.39,42.45,60.8,35,15,5.82
194,Magadan,RU,2020-02-16 22:02:02,59.57,150.8,-3.12,75,0,7.31
195,Erzin,TR,2020-02-16 22:03:32,36.96,36.2,46.4,75,82,9.17
196,Bantry,IE,2020-02-16 22:05:21,51.68,-9.45,39.2,60,40,27.51
197,Pevek,RU,2020-02-16 22:03:08,69.7,170.31,-25.92,100,100,6.93
198,Suluq,LY,2020-02-16 22:05:21,31.67,20.25,53.2,73,0,10.33
199,Kaura Namoda,NG,2020-02-16 22:05:22,12.59,6.58,72.61,10,0,9.95
200,Oktyabrskoye,RU,2020-02-16 22:05:22,43.06,44.74,24.28,94,97,0.63
201,Tura,IN,2020-02-16 22:02:55,25.52,90.22,62.85,67,0,1.99
202,Colares,PT,2020-02-16 22:05:22,38.8,-9.45,60.01,82,75,4.7
203,La Union,PE,2020-02-16 22:05:22,-5.4,-80.75,94.08,36,100,15.19
204,Sire,NG,2020-02-16 22:05:23,12.93,5.2,74.84,11,0,10.96
205,Rakai,UG,2020-02-16 22:05:23,-0.72,31.48,66.22,87,31,3.85
206,Baiyin,CN,2020-02-16 22:05:23,36.56,104.21,24.01,45,0,6.71
207,Vestmannaeyjar,IS,2020-02-16 22:05:23,63.44,-20.27,35.96,72,67,15.37
208,Vanavara,RU,2020-02-16 22:05:23,60.34,102.28,1.04,97,60,4.68
209,Vytegra,RU,2020-02-16 22:05:24,61.01,36.45,32.59,94,100,15.64
210,Mayumba,GA,2020-02-16 22:05:24,-3.43,10.66,82.54,77,100,7.18
211,Santa Isabel Do Rio Negro,BR,2020-02-16 22:04:08,-0.41,-65.02,91.83,48,73,2.59
212,Hualmay,PE,2020-02-16 22:05:24,-11.1,-77.61,78.76,61,94,9.57
213,Kerrobert,CA,2020-02-16 22:05:24,51.92,-109.13,23.0,85,90,6.93
214,Port Macquarie,AU,2020-02-16 22:05:25,-31.43,152.92,75.99,100,75,5.82
215,Kysyl-Syr,RU,2020-02-16 22:04:00,63.9,122.76,-1.12,99,100,2.44
216,Rio De Janeiro,BR,2020-02-16 22:02:00,-22.9,-43.21,86.0,83,40,13.87
217,Starokamyshinsk,RU,2020-02-16 22:05:25,55.06,61.6,17.6,92,40,8.95
218,Richards Bay,ZA,2020-02-16 22:02:38,-28.78,32.04,78.82,80,0,19.46
219,Kruisfontein,ZA,2020-02-16 22:02:46,-34.0,24.73,69.64,90,100,5.55
220,Neyshabur,IR,2020-02-16 22:05:26,36.21,58.8,35.85,41,42,3.91
221,Pisco,PE,2020-02-16 22:02:32,-13.7,-76.22,75.0,30,40,19.46
222,Tasiilaq,GL,2020-02-16 22:02:17,65.61,-37.64,28.4,46,100,4.7
223,Codrington,AU,2020-02-16 22:03:12,-38.27,141.97,61.79,85,5,14.72
224,Mount Gambier,AU,2020-02-16 21:57:08,-37.83,140.77,55.4,100,75,5.82
225,Grand-Lahou,CI,2020-02-16 22:03:56,5.14,-5.02,82.09,87,26,12.35
226,Gat,IL,2020-02-16 22:02:43,31.61,34.76,57.2,87,0,2.24
227,Neiafu,TO,2020-02-16 22:02:20,-18.65,-173.98,82.4,74,40,6.93
228,Komsomolskiy,UZ,2020-02-16 22:02:09,40.43,71.72,37.4,64,100,2.24
229,Klaksvik,FO,2020-02-16 22:02:18,62.23,-6.59,37.4,93,97,6.93
230,Mildura,AU,2020-02-16 22:05:29,-34.2,142.15,64.99,77,0,6.93
231,Berlevag,NO,2020-02-16 22:02:14,70.86,29.09,32.0,92,90,23.04
232,Ixtapa,MX,2020-02-16 22:05:29,20.7,-105.2,78.8,74,75,11.41
233,Buchanan,LR,2020-02-16 22:04:16,5.88,-10.05,80.6,88,20,5.26
234,Nemuro,JP,2020-02-16 22:02:22,43.32,145.57,25.21,93,100,25.77
235,Tyrma,RU,2020-02-16 22:05:30,50.08,132.17,-12.87,87,0,1.28
236,Rocha,UY,2020-02-16 22:05:30,-34.48,-54.33,94.77,26,0,7.83
237,Puerto Quijarro,BO,2020-02-16 22:05:30,-17.78,-57.77,91.71,66,68,3.24
238,Kununurra,AU,2020-02-16 22:03:32,-15.77,128.73,78.8,88,100,4.61
239,Roebourne,AU,2020-02-16 22:05:31,-20.78,117.13,82.85,71,0,9.75
240,Tilichiki,RU,2020-02-16 22:03:39,60.47,166.1,-21.84,92,0,7.76
241,Geraldton,AU,2020-02-16 22:02:21,-28.77,114.6,64.4,82,5,11.41
242,Nisia Floresta,BR,2020-02-16 22:05:31,-6.09,-35.21,84.2,74,20,13.87
243,Yulara,AU,2020-02-16 22:02:15,-25.24,130.99,77.0,25,0,9.17
244,Oranjemund,NA,2020-02-16 22:05:31,-28.55,16.43,66.25,82,0,5.55
245,Ovsyanka,RU,2020-02-16 22:05:32,55.96,92.55,-2.2,84,0,1.86
246,Upata,VE,2020-02-16 22:05:32,8.01,-62.4,87.46,45,53,7.36
247,Dhidhdhoo,MV,2020-02-16 22:05:32,6.88,73.1,81.48,79,0,11.79
248,Zaraza,VE,2020-02-16 22:05:32,9.35,-65.32,85.26,49,0,15.35
249,Jackson,US,2020-02-16 22:05:32,42.42,-122.83,55.4,54,20,6.93
